text_code,text,reference_record_id,user_record_id,reference_speaker,user_speaker,location_name,score,weak_region,feedback
ad0,기분이 좋아 보이시는데 뭐 즐거운 일 있으세요?,sub100120a00012,sub100100a00012,a,a,AnechoicChamber,74.4,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ad1,그래 보여요? 요즘 병원에 봉사하러 다니거든요.,sub100120a00013,sub100100a00013,a,a,AnechoicChamber,74.4,후반,전체 발화 길이는 기준보다 깁니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 후반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ad2,그러세요? 다니신 지는 오래되셨어요?,sub100120a00014,sub100100a00014,a,a,AnechoicChamber,73.5,후반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 후반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ad3,한 서너 달쯤 됐어요. 전 어린이 장애 환자들을 맡았는데 아이들과 같이 그림도 그리고 동화책도 읽어 주고 그래요.,sub100120a00015,sub100100a00015,a,a,AnechoicChamber,75.1,후반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 후반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ad4,저도 항상 봉사를 하고 싶었는데 같이 가도 될까요?,sub100120a00016,sub100100a00016,a,a,AnechoicChamber,70.6,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ad5,그럼요. 언제 가실래요?,sub100120a00017,sub100100a00017,a,a,AnechoicChamber,69.2,초반,전체 발화 길이는 기준보다 깁니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ae0,"네, 홈쇼핑입니다. 무엇을 주문하시겠습니까?",sub100120a00018,sub100100a00018,a,a,AnechoicChamber,74.7,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ae1,"지금 방송 되고 있는 겨울 이불을 구입하려고 하는데요. 하나는 저희가 쓰고, 다른 거는 시골에 계신 어머니한테 보낼 거예요. 따로 보낼 수 있죠?",sub100120a00019,sub100100a00019,a,a,AnechoicChamber,78.2,중반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ae2,"네, 물론입니다. 지불은 어떻게 하실 건가요?",sub100120a00020,sub100100a00020,a,a,AnechoicChamber,71.1,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ae3,카드로 할게요. 그런데 언제쯤 받을 수 있어요?,sub100120a00021,sub100100a00021,a,a,AnechoicChamber,76.5,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ae4,3일 안으로 배달해 드리겠습니다. 받으실 곳 주소를 불러 주시겠습니까?,sub100120a00022,sub100100a00022,a,a,AnechoicChamber,79.5,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ae5,네. 잠깐만요.,sub100120a00023,sub100100a00023,a,a,AnechoicChamber,60.8,중반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
af0,이번에 대학생을 위한 과학 교실을 여신다고 들었습니다. 대학생을 위한 것은 처음인것 같은데요. 어떤 내용인가요?,sub100120a00024,sub100100a00024,a,a,AnechoicChamber,77.7,후반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 후반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
af1,학생들에게 재미있는 주제를 정해서 마음껏 실험할 수 있게 하려고 합니다.,sub100120a00025,sub100100a00025,a,a,AnechoicChamber,74.6,후반,전체 발화 길이는 기준보다 깁니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 후반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
af2,네. 학생들에게는 정말 반가운 소식이겠네요. 구체적으로 어떤 실험을 하게 됩니까?,sub100120a00026,sub100100a00026,a,a,AnechoicChamber,80.0,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
af3,그럼 지금 좀 보여 드리죠.,sub100120a00027,sub100100a00027,a,a,AnechoicChamber,63.2,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ag0,다음으로 오늘 대회의 심사를 맡아 주실 분을 소개하겠습니다.,sub100120a00028,sub100100a00028,a,a,AnechoicChamber,74.9,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ag1,안녕하십니까? 이런 이름 높은 대회에 심사를 맡게 돼 영광입니다.,sub100120a00029,sub100100a00029,a,a,AnechoicChamber,73.2,중반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ag2,네. 오늘 심사에서 어떤 부분에 가장 중점을 둘 생각이십니까?,sub100120a00030,sub100100a00030,a,a,AnechoicChamber,80.4,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ag3,무엇보다 작품의 창의성이 가장 중요하다고 봅니다.,sub100120a00031,sub100100a00031,a,a,AnechoicChamber,67.5,중반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ah0,저 같은 신입 사원도 큰돈을 장만할 수 있을까요?,sub100120a00032,sub100100a00032,a,a,AnechoicChamber,77.8,중반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ah1,현재 저축은 하고 계세요?,sub100120a00033,sub100100a00033,a,a,AnechoicChamber,70.9,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ah2,아니요. 월급 대부분을 생활비로 쓰느라 저축은 생각도 못 해요.,sub100120a00034,sub100100a00034,a,a,AnechoicChamber,71.0,중반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ah3,정말 큰돈을 만들고 싶다면 지금 당장 천 원이라도 저축하세요. 그리고 꾸준히 저축해 나가면 머지않아 큰돈을 만들 수 있습니다.,sub100120a00035,sub100100a00035,a,a,AnechoicChamber,77.4,후반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 후반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ai0,"필기시험은 늘 합격하는데, 면접만 보면 꼭 떨어지네.",sub100120a00036,sub100100a00036,a,a,AnechoicChamber,75.4,후반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 후반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ai1,면접에서 뭔가 이상하게 하는 거 아냐?,sub100120a00037,sub100100a00037,a,a,AnechoicChamber,69.5,후반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 후반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ai2,이상하게 하기는. 모범 답안을 외워서 대답하고 있는데.,sub100120a00038,sub100100a00038,a,a,AnechoicChamber,78.0,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ai3,그럴 줄 알았어. 요즘 면접관들은 그런 틀에 박힌 표현은 싫어한대.,sub100120a00039,sub100100a00039,a,a,AnechoicChamber,76.9,중반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
