sentence_id,text,voice,condition,path,source_dataset,record_id,speaker,location_name,text_code
aa2,우리 회사 근처에 저런 유명한 식당이 있었네요. 다음에 삼계탕 한번 먹으러 가야겠어요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00002.wav,deeply,sub100100a00002,a,AirbnbStudio,aa2
aa3,저 식당은 그날 준비한 걸 다 팔면 문을 닫아요. 그러니까 늦게 가면 못 드실 수도 있어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00003.wav,deeply,sub100120a00003,a,AnechoicChamber,aa3
aa3,저 식당은 그날 준비한 걸 다 팔면 문을 닫아요. 그러니까 늦게 가면 못 드실 수도 있어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00003.wav,deeply,sub100121a00003,a,AnechoicChamber,aa3
aa3,저 식당은 그날 준비한 걸 다 팔면 문을 닫아요. 그러니까 늦게 가면 못 드실 수도 있어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00003.wav,deeply,sub100122a00003,a,AnechoicChamber,aa3
aa3,저 식당은 그날 준비한 걸 다 팔면 문을 닫아요. 그러니까 늦게 가면 못 드실 수도 있어요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00003.wav,deeply,sub100100a00003,a,AirbnbStudio,aa3
ab0,여권을 만들어야 하는데요. 회사 일이 늦게 끝나서 갈 시간이 없어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00004.wav,deeply,sub100120a00004,a,AnechoicChamber,ab0
ab0,여권을 만들어야 하는데요. 회사 일이 늦게 끝나서 갈 시간이 없어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00004.wav,deeply,sub100121a00004,a,AnechoicChamber,ab0
ab0,여권을 만들어야 하는데요. 회사 일이 늦게 끝나서 갈 시간이 없어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00004.wav,deeply,sub100122a00004,a,AnechoicChamber,ab0
ab0,여권을 만들어야 하는데요. 회사 일이 늦게 끝나서 갈 시간이 없어요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00004.wav,deeply,sub100100a00004,a,AirbnbStudio,ab0
ab1,요즘은 주말에도 여권을 신청할 수 있는 곳이 있어요. 저도 주말에 거기 가서 여권을 만들었어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00005.wav,deeply,sub100120a00005,a,AnechoicChamber,ab1
ab1,요즘은 주말에도 여권을 신청할 수 있는 곳이 있어요. 저도 주말에 거기 가서 여권을 만들었어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00005.wav,deeply,sub100121a00005,a,AnechoicChamber,ab1
ab1,요즘은 주말에도 여권을 신청할 수 있는 곳이 있어요. 저도 주말에 거기 가서 여권을 만들었어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00005.wav,deeply,sub100122a00005,a,AnechoicChamber,ab1
ab1,요즘은 주말에도 여권을 신청할 수 있는 곳이 있어요. 저도 주말에 거기 가서 여권을 만들었어요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00005.wav,deeply,sub100100a00005,a,AirbnbStudio,ab1
ab2,그래요? 어디로 가면 돼요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00006.wav,deeply,sub100120a00006,a,AnechoicChamber,ab2
ab2,그래요? 어디로 가면 돼요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00006.wav,deeply,sub100121a00006,a,AnechoicChamber,ab2
ab2,그래요? 어디로 가면 돼요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00006.wav,deeply,sub100122a00006,a,AnechoicChamber,ab2
ab2,그래요? 어디로 가면 돼요?,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00006.wav,deeply,sub100100a00006,a,AirbnbStudio,ab2
ab3,만들어 주는 데가 여러 곳 있어요. 인터넷에서 찾아보고 가까운 곳으로 가세요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00007.wav,deeply,sub100120a00007,a,AnechoicChamber,ab3
ab3,만들어 주는 데가 여러 곳 있어요. 인터넷에서 찾아보고 가까운 곳으로 가세요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00007.wav,deeply,sub100121a00007,a,AnechoicChamber,ab3
ab3,만들어 주는 데가 여러 곳 있어요. 인터넷에서 찾아보고 가까운 곳으로 가세요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00007.wav,deeply,sub100122a00007,a,AnechoicChamber,ab3
ab3,만들어 주는 데가 여러 곳 있어요. 인터넷에서 찾아보고 가까운 곳으로 가세요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00007.wav,deeply,sub100100a00007,a,AirbnbStudio,ab3
ac0,저 다음 주부터 백화점 안에 있는 옷 가게에서 일하기로 했어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00008.wav,deeply,sub100120a00008,a,AnechoicChamber,ac0
ac0,저 다음 주부터 백화점 안에 있는 옷 가게에서 일하기로 했어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00008.wav,deeply,sub100121a00008,a,AnechoicChamber,ac0
ac0,저 다음 주부터 백화점 안에 있는 옷 가게에서 일하기로 했어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00008.wav,deeply,sub100122a00008,a,AnechoicChamber,ac0
ac0,저 다음 주부터 백화점 안에 있는 옷 가게에서 일하기로 했어요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00008.wav,deeply,sub100100a00008,a,AirbnbStudio,ac0
ac1,잘 됐네요. 그런데 매일 일해요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00009.wav,deeply,sub100120a00009,a,AnechoicChamber,ac1
ac1,잘 됐네요. 그런데 매일 일해요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00009.wav,deeply,sub100121a00009,a,AnechoicChamber,ac1
ac1,잘 됐네요. 그런데 매일 일해요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00009.wav,deeply,sub100122a00009,a,AnechoicChamber,ac1
ac1,잘 됐네요. 그런데 매일 일해요?,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00009.wav,deeply,sub100100a00009,a,AirbnbStudio,ac1
ac2,아니요. 월요일부터 금요일까지 하루에 세 시간씩만 하면 돼요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00010.wav,deeply,sub100120a00010,a,AnechoicChamber,ac2
ac2,아니요. 월요일부터 금요일까지 하루에 세 시간씩만 하면 돼요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00010.wav,deeply,sub100121a00010,a,AnechoicChamber,ac2
ac2,아니요. 월요일부터 금요일까지 하루에 세 시간씩만 하면 돼요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00010.wav,deeply,sub100122a00010,a,AnechoicChamber,ac2
ac2,아니요. 월요일부터 금요일까지 하루에 세 시간씩만 하면 돼요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00010.wav,deeply,sub100100a00010,a,AirbnbStudio,ac2
ac3,공부와 일을 같이 하려면 힘들겠어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00011.wav,deeply,sub100120a00011,a,AnechoicChamber,ac3
ac3,공부와 일을 같이 하려면 힘들겠어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00011.wav,deeply,sub100121a00011,a,AnechoicChamber,ac3
ac3,공부와 일을 같이 하려면 힘들겠어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00011.wav,deeply,sub100122a00011,a,AnechoicChamber,ac3
ac3,공부와 일을 같이 하려면 힘들겠어요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00011.wav,deeply,sub100100a00011,a,AirbnbStudio,ac3
ad0,기분이 좋아 보이시는데 뭐 즐거운 일 있으세요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00012.wav,deeply,sub100120a00012,a,AnechoicChamber,ad0
ad0,기분이 좋아 보이시는데 뭐 즐거운 일 있으세요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00012.wav,deeply,sub100121a00012,a,AnechoicChamber,ad0
ad0,기분이 좋아 보이시는데 뭐 즐거운 일 있으세요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00012.wav,deeply,sub100122a00012,a,AnechoicChamber,ad0
ad0,기분이 좋아 보이시는데 뭐 즐거운 일 있으세요?,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00012.wav,deeply,sub100100a00012,a,AirbnbStudio,ad0
ad1,그래 보여요? 요즘 병원에 봉사하러 다니거든요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00013.wav,deeply,sub100120a00013,a,AnechoicChamber,ad1
ad1,그래 보여요? 요즘 병원에 봉사하러 다니거든요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00013.wav,deeply,sub100121a00013,a,AnechoicChamber,ad1
ad1,그래 보여요? 요즘 병원에 봉사하러 다니거든요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00013.wav,deeply,sub100122a00013,a,AnechoicChamber,ad1
ad1,그래 보여요? 요즘 병원에 봉사하러 다니거든요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00013.wav,deeply,sub100100a00013,a,AirbnbStudio,ad1
ad2,그러세요? 다니신 지는 오래되셨어요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00014.wav,deeply,sub100120a00014,a,AnechoicChamber,ad2
ad2,그러세요? 다니신 지는 오래되셨어요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00014.wav,deeply,sub100121a00014,a,AnechoicChamber,ad2
ad2,그러세요? 다니신 지는 오래되셨어요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00014.wav,deeply,sub100122a00014,a,AnechoicChamber,ad2
ad2,그러세요? 다니신 지는 오래되셨어요?,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00014.wav,deeply,sub100100a00014,a,AirbnbStudio,ad2
ad3,한 서너 달쯤 됐어요. 전 어린이 장애 환자들을 맡았는데 아이들과 같이 그림도 그리고 동화책도 읽어 주고 그래요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00015.wav,deeply,sub100120a00015,a,AnechoicChamber,ad3
ad3,한 서너 달쯤 됐어요. 전 어린이 장애 환자들을 맡았는데 아이들과 같이 그림도 그리고 동화책도 읽어 주고 그래요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00015.wav,deeply,sub100121a00015,a,AnechoicChamber,ad3
ad3,한 서너 달쯤 됐어요. 전 어린이 장애 환자들을 맡았는데 아이들과 같이 그림도 그리고 동화책도 읽어 주고 그래요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00015.wav,deeply,sub100122a00015,a,AnechoicChamber,ad3
ad3,한 서너 달쯤 됐어요. 전 어린이 장애 환자들을 맡았는데 아이들과 같이 그림도 그리고 동화책도 읽어 주고 그래요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00015.wav,deeply,sub100100a00015,a,AirbnbStudio,ad3
ad4,저도 항상 봉사를 하고 싶었는데 같이 가도 될까요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00016.wav,deeply,sub100120a00016,a,AnechoicChamber,ad4
ad4,저도 항상 봉사를 하고 싶었는데 같이 가도 될까요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00016.wav,deeply,sub100121a00016,a,AnechoicChamber,ad4
ad4,저도 항상 봉사를 하고 싶었는데 같이 가도 될까요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00016.wav,deeply,sub100122a00016,a,AnechoicChamber,ad4
ad4,저도 항상 봉사를 하고 싶었는데 같이 가도 될까요?,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00016.wav,deeply,sub100100a00016,a,AirbnbStudio,ad4
ad5,그럼요. 언제 가실래요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00017.wav,deeply,sub100120a00017,a,AnechoicChamber,ad5
ad5,그럼요. 언제 가실래요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00017.wav,deeply,sub100121a00017,a,AnechoicChamber,ad5
ad5,그럼요. 언제 가실래요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00017.wav,deeply,sub100122a00017,a,AnechoicChamber,ad5
ad5,그럼요. 언제 가실래요?,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00017.wav,deeply,sub100100a00017,a,AirbnbStudio,ad5
ae0,"네, 홈쇼핑입니다. 무엇을 주문하시겠습니까?",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00018.wav,deeply,sub100120a00018,a,AnechoicChamber,ae0
ae0,"네, 홈쇼핑입니다. 무엇을 주문하시겠습니까?",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00018.wav,deeply,sub100121a00018,a,AnechoicChamber,ae0
ae0,"네, 홈쇼핑입니다. 무엇을 주문하시겠습니까?",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00018.wav,deeply,sub100122a00018,a,AnechoicChamber,ae0
ae0,"네, 홈쇼핑입니다. 무엇을 주문하시겠습니까?",a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00018.wav,deeply,sub100100a00018,a,AirbnbStudio,ae0
ae1,"지금 방송 되고 있는 겨울 이불을 구입하려고 하는데요. 하나는 저희가 쓰고, 다른 거는 시골에 계신 어머니한테 보낼 거예요. 따로 보낼 수 있죠?",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00019.wav,deeply,sub100120a00019,a,AnechoicChamber,ae1
ae1,"지금 방송 되고 있는 겨울 이불을 구입하려고 하는데요. 하나는 저희가 쓰고, 다른 거는 시골에 계신 어머니한테 보낼 거예요. 따로 보낼 수 있죠?",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00019.wav,deeply,sub100121a00019,a,AnechoicChamber,ae1
ae1,"지금 방송 되고 있는 겨울 이불을 구입하려고 하는데요. 하나는 저희가 쓰고, 다른 거는 시골에 계신 어머니한테 보낼 거예요. 따로 보낼 수 있죠?",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00019.wav,deeply,sub100122a00019,a,AnechoicChamber,ae1
ae1,"지금 방송 되고 있는 겨울 이불을 구입하려고 하는데요. 하나는 저희가 쓰고, 다른 거는 시골에 계신 어머니한테 보낼 거예요. 따로 보낼 수 있죠?",a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00019.wav,deeply,sub100100a00019,a,AirbnbStudio,ae1
ae2,"네, 물론입니다. 지불은 어떻게 하실 건가요?",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00020.wav,deeply,sub100120a00020,a,AnechoicChamber,ae2
ae2,"네, 물론입니다. 지불은 어떻게 하실 건가요?",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00020.wav,deeply,sub100121a00020,a,AnechoicChamber,ae2
ae2,"네, 물론입니다. 지불은 어떻게 하실 건가요?",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00020.wav,deeply,sub100122a00020,a,AnechoicChamber,ae2
ae2,"네, 물론입니다. 지불은 어떻게 하실 건가요?",a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00020.wav,deeply,sub100100a00020,a,AirbnbStudio,ae2
ae3,카드로 할게요. 그런데 언제쯤 받을 수 있어요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00021.wav,deeply,sub100120a00021,a,AnechoicChamber,ae3
ae3,카드로 할게요. 그런데 언제쯤 받을 수 있어요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00021.wav,deeply,sub100121a00021,a,AnechoicChamber,ae3
ae3,카드로 할게요. 그런데 언제쯤 받을 수 있어요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00021.wav,deeply,sub100122a00021,a,AnechoicChamber,ae3
ae3,카드로 할게요. 그런데 언제쯤 받을 수 있어요?,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00021.wav,deeply,sub100100a00021,a,AirbnbStudio,ae3
ae4,3일 안으로 배달해 드리겠습니다. 받으실 곳 주소를 불러 주시겠습니까?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00022.wav,deeply,sub100120a00022,a,AnechoicChamber,ae4
ae4,3일 안으로 배달해 드리겠습니다. 받으실 곳 주소를 불러 주시겠습니까?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00022.wav,deeply,sub100121a00022,a,AnechoicChamber,ae4
ae4,3일 안으로 배달해 드리겠습니다. 받으실 곳 주소를 불러 주시겠습니까?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00022.wav,deeply,sub100122a00022,a,AnechoicChamber,ae4
ae4,3일 안으로 배달해 드리겠습니다. 받으실 곳 주소를 불러 주시겠습니까?,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00022.wav,deeply,sub100100a00022,a,AirbnbStudio,ae4
ae5,네. 잠깐만요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00023.wav,deeply,sub100120a00023,a,AnechoicChamber,ae5
ae5,네. 잠깐만요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00023.wav,deeply,sub100121a00023,a,AnechoicChamber,ae5
ae5,네. 잠깐만요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00023.wav,deeply,sub100122a00023,a,AnechoicChamber,ae5
ae5,네. 잠깐만요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00023.wav,deeply,sub100100a00023,a,AirbnbStudio,ae5
af0,이번에 대학생을 위한 과학 교실을 여신다고 들었습니다. 대학생을 위한 것은 처음인것 같은데요. 어떤 내용인가요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00024.wav,deeply,sub100120a00024,a,AnechoicChamber,af0
af0,이번에 대학생을 위한 과학 교실을 여신다고 들었습니다. 대학생을 위한 것은 처음인것 같은데요. 어떤 내용인가요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00024.wav,deeply,sub100121a00024,a,AnechoicChamber,af0
af0,이번에 대학생을 위한 과학 교실을 여신다고 들었습니다. 대학생을 위한 것은 처음인것 같은데요. 어떤 내용인가요?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00024.wav,deeply,sub100122a00024,a,AnechoicChamber,af0
af0,이번에 대학생을 위한 과학 교실을 여신다고 들었습니다. 대학생을 위한 것은 처음인것 같은데요. 어떤 내용인가요?,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00024.wav,deeply,sub100100a00024,a,AirbnbStudio,af0
af1,학생들에게 재미있는 주제를 정해서 마음껏 실험할 수 있게 하려고 합니다.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00025.wav,deeply,sub100120a00025,a,AnechoicChamber,af1
af1,학생들에게 재미있는 주제를 정해서 마음껏 실험할 수 있게 하려고 합니다.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00025.wav,deeply,sub100121a00025,a,AnechoicChamber,af1
af1,학생들에게 재미있는 주제를 정해서 마음껏 실험할 수 있게 하려고 합니다.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00025.wav,deeply,sub100122a00025,a,AnechoicChamber,af1
af1,학생들에게 재미있는 주제를 정해서 마음껏 실험할 수 있게 하려고 합니다.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00025.wav,deeply,sub100100a00025,a,AirbnbStudio,af1
af2,네. 학생들에게는 정말 반가운 소식이겠네요. 구체적으로 어떤 실험을 하게 됩니까?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00026.wav,deeply,sub100120a00026,a,AnechoicChamber,af2
af2,네. 학생들에게는 정말 반가운 소식이겠네요. 구체적으로 어떤 실험을 하게 됩니까?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00026.wav,deeply,sub100121a00026,a,AnechoicChamber,af2
af2,네. 학생들에게는 정말 반가운 소식이겠네요. 구체적으로 어떤 실험을 하게 됩니까?,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00026.wav,deeply,sub100122a00026,a,AnechoicChamber,af2
af2,네. 학생들에게는 정말 반가운 소식이겠네요. 구체적으로 어떤 실험을 하게 됩니까?,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00026.wav,deeply,sub100100a00026,a,AirbnbStudio,af2
af3,그럼 지금 좀 보여 드리죠.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00027.wav,deeply,sub100120a00027,a,AnechoicChamber,af3
af3,그럼 지금 좀 보여 드리죠.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00027.wav,deeply,sub100121a00027,a,AnechoicChamber,af3
af3,그럼 지금 좀 보여 드리죠.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00027.wav,deeply,sub100122a00027,a,AnechoicChamber,af3
af3,그럼 지금 좀 보여 드리죠.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00027.wav,deeply,sub100100a00027,a,AirbnbStudio,af3
ag0,다음으로 오늘 대회의 심사를 맡아 주실 분을 소개하겠습니다.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00028.wav,deeply,sub100120a00028,a,AnechoicChamber,ag0
ag0,다음으로 오늘 대회의 심사를 맡아 주실 분을 소개하겠습니다.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00028.wav,deeply,sub100121a00028,a,AnechoicChamber,ag0
ag0,다음으로 오늘 대회의 심사를 맡아 주실 분을 소개하겠습니다.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00028.wav,deeply,sub100122a00028,a,AnechoicChamber,ag0
ag0,다음으로 오늘 대회의 심사를 맡아 주실 분을 소개하겠습니다.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00028.wav,deeply,sub100100a00028,a,AirbnbStudio,ag0
ag1,안녕하십니까? 이런 이름 높은 대회에 심사를 맡게 돼 영광입니다.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00029.wav,deeply,sub100120a00029,a,AnechoicChamber,ag1
